,REPORTED_TERM,DESC_CODED,LLT_NAME_COMPL,PT_NAME_COMPL,HLT_NAME_COMPL,HLGT_NAME_COMPL,SOC_CODE,INC_CODE_J,ART_CODE,INC_CODE
11673,TAXANE-INDUCED PERIARTICULAR THENAR ERYTHEMA AND ONYCHOLYSIS SYNDROME (GRADE 3),Periarticular thenar erythema with onycholysis,PERIARTICULAR THENAR ERYTHEMA WITH ONYCHOLYSIS,PERIARTICULAR THENAR ERYTHEMA WITH ONYCHOLYSIS,DERMATITIS ASCRIBED TO SPECIFIC AGENT,EPIDERMAL AND DERMAL CONDITIONS,10040785,10078288,10078288,10078288
11746,CONTRAINDICATED DRUG ADMINISTERED,contraindicated drug administered,CONTRAINDICATED DRUG ADMINISTERED,CONTRAINDICATED PRODUCT ADMINISTERED,PRODUCT ADMINISTRATION ERRORS AND ISSUES,MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10074899,10078504,10074899
11826,MYCOPHENOLATE MOFETIL USED FOR IDIOPATHIC THROMBOCYTOPENIC PURPURA,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
11840,MULTIPLE ORGAN DYSFUNCTION SYNDROME FOLLOWING SEPTIC SHOCK,Multiple organ dysfunction syndrome,MULTIPLE ORGAN DYSFUNCTION SYNDROME,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10077361,10077361,10077361
11849,EOSINOPHILIC GRANULOMATOSIS WITH POLYANGIITIS,eosinophilic granulomatosis with polyangiitis,EOSINOPHILIC GRANULOMATOSIS WITH POLYANGIITIS,EOSINOPHILIC GRANULOMATOSIS WITH POLYANGIITIS,VASCULITIDES,IMMUNE DISORDERS NEC,10021428,10078117,10078117,10078117
11895,PATERNAL EXPOSURE BEFORE PREGNANCY,Paternal exposure before pregnancy,PATERNAL EXPOSURE BEFORE PREGNANCY,PATERNAL EXPOSURE BEFORE PREGNANCY,"EXPOSURES ASSOCIATED WITH PREGNANCY, DELIVERY AND LACTATION","EXPOSURES, CHEMICAL INJURIES AND POISONING",10022117,10080093,10080093,10080093
11909,LACK OF COOPERATION,Patient uncooperative,PATIENT UNCOOPERATIVE,PATIENT UNCOOPERATIVE,SOCIAL ISSUES NEC,LIFESTYLE ISSUES,10041244,10077706,10077706,10077706
11970,SMALL AMOUNT OF FREE FUILD IN THE ABDOMINAL CAVITY,Intra-abdominal fluid collection,INTRA-ABDOMINAL FLUID COLLECTION,INTRA-ABDOMINAL FLUID COLLECTION,PERITONEAL AND RETROPERITONEAL DISORDERS,PERITONEAL AND RETROPERITONEAL CONDITIONS,10017947,10078659,10078659,10078659
11972,USE FOR ORAL CARE (PREVENTION OF INFECTION IN INTENSIVE CARE UNIT),Drug use for unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
12002,DRUG USE FOR UNAPPROVED INDICATION,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
12165,HER PAIN WAS STILL SEVERE AND UNCONTROLLED,Therapy non-responder,NO THERAPEUTIC RESPONSE,THERAPY NON-RESPONDER,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10063670,10051082,10063670
12202,FRUSTRATION,Frustration tolerance decreased,FRUSTRATION,FRUSTRATION TOLERANCE DECREASED,EMOTIONAL AND MOOD DISTURBANCES NEC,MOOD DISORDERS AND DISTURBANCES NEC,10037175,10064862,10077753,10064862
12262,LATE HYPOXIC CARDIAC ARREST SECONDARY TO CRITICAL ILLNESS POLYNEUROMYOPATHY DUE TO SELFPOISONING WITH BACLOFEN,Intensive care unit acquired weakness,CRITICAL ILLNESS POLYNEUROMYOPATHY,INTENSIVE CARE UNIT ACQUIRED WEAKNESS,ACUTE POLYNEUROPATHIES,PERIPHERAL NEUROPATHIES,10029205,10078315,10077255,10078315
12321,CEFOTAXIM USED FOR TREATMENT OF ACUTE RESPIRATORY FAILURE AND COPD,Drug use for unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
12346,CODEINE USED FOR MUSCULOSKELETAL PAIN,Product use in unapproved indication,PRODUCT USE IN UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10076476,10076476,10076476
12397,LITHIUM-INDUCED END STAGE RENAL DISEASE,End stage renal disease,END STAGE RENAL DISEASE,END STAGE RENAL DISEASE,RENAL FAILURE AND IMPAIRMENT,RENAL DISORDERS (EXCL NEPHROPATHIES),10038359,10077512,10077512,10077512
12453,MULTIORGAN FAILURE,Multiple organ dysfunction syndrome,MULTIORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028162
12455,NORMOCHROMIC ANEMIA  (HB-7 G),Normochromic anaemia,NORMOCHROMIC ANEMIA,NORMOCHROMIC ANAEMIA,ANAEMIAS NEC,ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION,10005329,10029782,10029782,10054484
12537,MULTIPLE ORGAN FAILURE,Multiple organ dysfunction syndrome,MULTIPLE ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028237
12547,POSITIVE PSYCHOTIC SYMPTOMS FOLLOWING DELIVERY,Psychotic symptom,PSYCHOTIC SYMPTOM,PSYCHOTIC SYMPTOM,PSYCHOTIC DISORDER NEC,SCHIZOPHRENIA AND OTHER PSYCHOTIC DISORDERS,10037175,10079254,10079254,10079254
12641,MILD TO MODERATE MENTAL RETARDATION FOLLOWING DRUG EXPOSURE IN UTERO,mental retardation,MENTAL RETARDATION,INTELLECTUAL DISABILITY,INTELLECTUAL DISABILITIES,MENTAL IMPAIRMENT DISORDERS,10029205,10027378,10067989,10027378
12669,DRUG EXPOSURE VIA BREAST MILK WITH NO ADR,drug exposure via breast milk,DRUG EXPOSURE VIA BREAST MILK,EXPOSURE VIA BREAST MILK,PATHWAYS AND SOURCES OF EXPOSURE,"EXPOSURES, CHEMICAL INJURIES AND POISONING",10022117,10051075,10080751,10051075
12682,NO CLINICAL AND RADIOLOGICAL RESPONSE WAS SEEN,Therapy non-responder,NO THERAPEUTIC RESPONSE,THERAPY NON-RESPONDER,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10063670,10051082,10063670
12703,METHOTREXATE USED FOR JUVENILE DERMATOMYOSITIS,Drug use for unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
12758,SEVERE MULTI-ORGAN FAILURE DUE TO SEVERE CIRCULATORY SHOCK,Multiple organ dysfunction syndrome,MULTI-ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028154
12829,DID NOT ACHIEVE RESPONSE TO TREATMENT,Therapy non-responder,THERAPY NON-RESPONDER,THERAPY NON-RESPONDER,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10051082,10051082,10051082
12850,"DRUG INTERACTION BETWEEN ASPIRIN, DIPYRIDAMOL AND CLOPIDOGREL",Contraindicated product administered,CONTRAINDICATED DRUG ADMINISTERED,CONTRAINDICATED PRODUCT ADMINISTERED,PRODUCT ADMINISTRATION ERRORS AND ISSUES,MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10074899,10078504,10074899
12866,SEVERAL AREAS OF T2/FLAIR HYPERINTENSITY IN THE SUPRATENTORIAL AND INFRATENTORIAL BRAIN WITHOUT ENHANCEMENT OR DIFFUSION RESTRICTION,several areas of T2/FLAIR hyperintensity in the supratentorial and infratentorial brain without enhancement or diffusion restriction,HYPERINTENSITY IN BRAIN DEEP NUCLEI,HYPERINTENSITY IN BRAIN DEEP NUCLEI,STRUCTURAL BRAIN DISORDERS NEC,STRUCTURAL BRAIN DISORDERS,10029205,10079392,10079392,10079392
12896,MYCOPHENOLATE MOFETIL USED FOR OCULAR CICATRICIAL PEMPHIGOID,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
12995,BULLOUS FIXED DRUG ERUPTION,Fixed eruption,FIXED DRUG ERUPTION,FIXED ERUPTION,DERMATITIS ASCRIBED TO SPECIFIC AGENT,EPIDERMAL AND DERMAL CONDITIONS,10040785,10016740,10016741,10016740
13093,NON RESPONDENT TO CLOPIDOGREL THERAPY,Therapy non-responder,THERAPY NON-RESPONDER,THERAPY NON-RESPONDER,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10051082,10051082,10051082
13134,STABLE DISEASE/NO RESPONSE,Therapy non-responder,NO THERAPEUTIC RESPONSE,THERAPY NON-RESPONDER,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10063670,10051082,10063670
13160,MULTI-ORGAN FAILURE DUE TO HAEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS,Multi-organ failure due to haemophagocytic lymphohistiocytosis,MULTI-ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028154
13239,ATYPICAL HEMOLYTIC UREMIC SYNDROME (SEUA),atypical hemolytic uremic syndrome,ATYPICAL HEMOLYTIC UREMIC SYNDROME,ATYPICAL HAEMOLYTIC URAEMIC SYNDROME,ANAEMIAS HAEMOLYTIC MECHANICAL FACTOR,HAEMOLYSES AND RELATED CONDITIONS,10005329,10079841,10079840,10079841
13255,HARDLY STAND UP AND UNABLE TO WALK,Gait inability,UNABLE TO WALK,GAIT INABILITY,GAIT DISTURBANCES,GENERAL SYSTEM DISORDERS NEC,10018065,10017581,10017581,10049278
13327,INITIATED HER ON COT BY INDEFINITELY EXTENDING HER COURSE OF OXYCODONE AT AN INCREASED DOSE,drug use for unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
13347,PATIENT FELT LAST FETAL MOVEMENTS WHEN SHE TOOK FINAL DOSES OF ACETAMINOPHEN,Foetal movement disorder,FETAL MOVEMENT DISORDER,FOETAL MOVEMENT DISORDER,DYSKINESIAS AND MOVEMENT DISORDERS NEC,MOVEMENT DISORDERS (INCL PARKINSONISM),10029205,10077576,10077576,10077584
13379,LITHIUM-INDUCED END STAGE RENAL DISEASE,end stage renal disease,END STAGE RENAL DISEASE,END STAGE RENAL DISEASE,RENAL FAILURE AND IMPAIRMENT,RENAL DISORDERS (EXCL NEPHROPATHIES),10038359,10077512,10077512,10077512
13380,TENOFOVIR DISOPROXIL FUMARATE-ASSOCIATED RENAL TUBULAR DYSFUNCTION,Renal tubular dysfunction,RENAL TUBULAR DYSFUNCTION,RENAL TUBULAR DYSFUNCTION,NEPHROPATHIES AND TUBULAR DISORDERS NEC,NEPHROPATHIES,10038359,10050335,10050335,10050335
13428,"MULTIPLE FIXED DRUG ERUPTION ON ORAL MUCOSA, TRUNK AND EXTREMITIES DUE TO LEVOFLOXACIN",fixed drug eruption,FIXED DRUG ERUPTION,FIXED ERUPTION,DERMATITIS ASCRIBED TO SPECIFIC AGENT,EPIDERMAL AND DERMAL CONDITIONS,10040785,10016740,10016741,10016740
13440,ATYPICAL HEMOLYTIC UREMIC SYNDROME (AHUS),Atypical haemolytic uraemic syndrome,ATYPICAL HEMOLYTIC UREMIC SYNDROME,ATYPICAL HAEMOLYTIC URAEMIC SYNDROME,ANAEMIAS HAEMOLYTIC MECHANICAL FACTOR,HAEMOLYSES AND RELATED CONDITIONS,10005329,10079840,10079840,10079841
13493,RESPIRATORY DISTRESS DUE TO BILATERAL CHOANAL ATRESIA FOLLOWING DRUG EXPOSURE IN UTERO,respiratory distress due to bilateral choanal atresia following drug exposure in utero,RESPIRATORY DISTRESS NEONATAL,NEONATAL RESPIRATORY DISTRESS,NEONATAL HYPOXIC CONDITIONS,NEONATAL RESPIRATORY DISORDERS,10038738,10038688,10028973,10038688
13694,IMPAIRED ACTIVITIES OF DAILY LIVING,Activities of daily living impaired,ACTIVITIES OF DAILY LIVING IMPAIRED,LOSS OF PERSONAL INDEPENDENCE IN DAILY ACTIVITIES,DISABILITY ISSUES,LIFESTYLE ISSUES,10041244,10050954,10079487,10050954
13712,FATTY LIVER,fatty liver,NON-ALCOHOLIC FATTY LIVER,NON-ALCOHOLIC FATTY LIVER,HEPATOCELLULAR DAMAGE AND HEPATITIS NEC,HEPATIC AND HEPATOBILIARY DISORDERS,10019805,10029530,10029530,10029530
13757,MULTI-ORGAN FAILURE FOLLOWING ACUTE DRUG TOXICITY,Multiple organ dysfunction syndrome,MULTI-ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028154
13791,PATIENT BECOME NON AMBULATORY,Unable to walk,UNABLE TO WALK,GAIT INABILITY,GAIT DISTURBANCES,GENERAL SYSTEM DISORDERS NEC,10018065,10049278,10017581,10049278
13876,HYPERLEUCOCYTOSIS,Hyperleukocytosis,HYPERLEUKOCYTOSIS,HYPERLEUKOCYTOSIS,LEUKOCYTOSES NEC,WHITE BLOOD CELL DISORDERS,10005329,10078862,10078862,10078862
14070,DRUG USE FOR UNAPPROVED INDICATION,Drug use for unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
14110,CROSS REACTIVITY TO CEFACLOR AND CEFALEXIN,Drug cross-reactivity,DRUG CROSS-REACTIVITY,THERAPEUTIC PRODUCT CROSS-REACTIVITY,"ALLERGIES TO FOODS, FOOD ADDITIVES, DRUGS AND OTHER CHEMICALS",ALLERGIC CONDITIONS,10021428,10076743,10079645,10076743
14151,RIGHT ATRIUM ENLARGEMENT,atrial enlargement,ATRIAL ENLARGEMENT,ATRIAL ENLARGEMENT,MYOCARDIAL DISORDERS NEC,MYOCARDIAL DISORDERS,10007541,10079340,10079340,10079340
14280,BILATERAL FACIAL DROOPING,Facial paralysis,FACIAL DROOP,FACIAL PARALYSIS,FACIAL CRANIAL NERVE DISORDERS,CRANIAL NERVE DISORDERS (EXCL NEOPLASMS),10029205,10016062,10016062,10016044
14342,SEVERE ENTEROPATHY WITH VILLOUS ATROPHY,Sprue-like enteropathy,SPRUE-LIKE ENTEROPATHY,SPRUE-LIKE ENTEROPATHY,MALABSORPTION SYNDROMES,MALABSORPTION CONDITIONS,10017947,10079622,10079622,10079622
14447,SPRUE-LIKE ENTEROPATHY ASSOCIATED TO TAKING OLMESARTAN,Sprue-like enteropathy,SPRUE-LIKE ENTEROPATHY,SPRUE-LIKE ENTEROPATHY,MALABSORPTION SYNDROMES,MALABSORPTION CONDITIONS,10017947,10079622,10079622,10079622
14492,DIFFUSE SYSTEMIC SCLEROSIS AND ITS WORSENING FOLLOWING LACK OF DRUG EFFECT,Systemic scleroderma,DIFFUSE SYSTEMIC SCLEROSIS,SYSTEMIC SCLERODERMA,CONNECTIVE TISSUE DISORDERS NEC,CONNECTIVE TISSUE DISORDERS (EXCL CONGENITAL),10028395,10012977,10078638,10012977
14557,PROXIMAL TUBULAR DYSFUNCTION,proximal renal tubular dysfunction,PROXIMAL RENAL TUBULAR DYSFUNCTION,RENAL TUBULAR DYSFUNCTION,NEPHROPATHIES AND TUBULAR DISORDERS NEC,NEPHROPATHIES,10038359,10037081,10050335,10037081
14588,CISPLATIN-INDUCED ATYPICAL HEMOLYTIC UREMIC SYNDROME,atypical hemolytic uremic syndrome,ATYPICAL HEMOLYTIC UREMIC SYNDROME,ATYPICAL HAEMOLYTIC URAEMIC SYNDROME,ANAEMIAS HAEMOLYTIC MECHANICAL FACTOR,HAEMOLYSES AND RELATED CONDITIONS,10005329,10079841,10079840,10079841
14613,LINEZOLID USED MYCOBACTERIUM CHELONAE INFECTION,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
14676,"TOBRAMYCIN, VITAMIN A, DEXAMETHASONE, FLUOROMETHOLONE, METRONIDAZOLE, BETAMETHASONE",Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
14769,BLEOMYCIN ADMINISTERED FOR VENOUS MALFORMATION,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
14852,"CHRONIC RHINOSINUSITIS, NASAL POLYPOSIS",Chronic rhinosinusitis with nasal polyps,CHRONIC RHINOSINUSITIS WITH NASAL POLYPS,CHRONIC RHINOSINUSITIS WITH NASAL POLYPS,PARANASAL SINUS DISORDERS (EXCL INFECTIONS AND NEOPLASMS),UPPER RESPIRATORY TRACT DISORDERS (EXCL INFECTIONS),10038738,10080060,10080060,10080060
14927,INCREASED HYPERAUTOFLUORESCENCE IN LEFT EYE,Fundus autofluorescence,FUNDUS AUTOFLUORESCENCE,FUNDUS AUTOFLUORESCENCE,OPHTHALMIC HISTOPATHOLOGY AND IMAGING PROCEDURES,"NEUROLOGICAL, SPECIAL SENSES AND PSYCHIATRIC INVESTIGATIONS",10022891,10078792,10078792,10078792
14966,REDUCED FACIAL EXPRESSION/HYPOMIMIA,reduced facial expression,REDUCED FACIAL EXPRESSION,REDUCED FACIAL EXPRESSION,PARKINSON'S DISEASE AND PARKINSONISM,MOVEMENT DISORDERS (INCL PARKINSONISM),10029205,10078576,10078576,10078576
15058,RECURRENCE OF NEUROMYELITIS OPTICA SPECTRUM DISORDER DUE TO PERSISTENT DENGUE AND NEW CMV INFECTION,Neuromyelitis optica spectrum disorder,NEUROMYELITIS OPTICA SPECTRUM DISORDER,NEUROMYELITIS OPTICA SPECTRUM DISORDER,DEMYELINATING DISORDERS NEC,DEMYELINATING DISORDERS,10029205,10077875,10077875,10077875
15064,ENALAPRIL WAS INITIATED TO TRY TO REDUCE THE PROTEINURIA,Drug use for unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
15137,"RELAPSE OF IGG4 RELATED LUNG DISEASE FOLLOWING SUBTHERAPEUTIC RESPONSE OF IMMUNOSUPPRESSIVE AGENTS, INCLUDING GLUCOCORTICOIDS",immunoglobulin G4 related disease,IMMUNOGLOBULIN G4 RELATED DISEASE,IMMUNOGLOBULIN G4 RELATED DISEASE,CONNECTIVE TISSUE DISORDERS NEC,CONNECTIVE TISSUE DISORDERS (EXCL CONGENITAL),10028395,10077271,10077271,10077271
15145,MULTIPLE ORGAN FAILURE,Multiple organ dysfunction syndrome,MULTIPLE ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028237
15165,MAXILLARY SINUS PAIN,sinus pain,SINUS PAIN,SINUS PAIN,UPPER RESPIRATORY TRACT SIGNS AND SYMPTOMS,RESPIRATORY TRACT SIGNS AND SYMPTOMS,10038738,10040747,10040747,10040747
15170,MULTIPLE ORGAN FAILURE FOLLOWING OPPORTUNISTIC INFECTIONS FOLLOWING IMMUNOSUPPRESSIVE THERAPIES,Multiple organ dysfunction syndrome,MULTIPLE ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028237
15212,PERIPHERAL ARTERY OCCLUSIVE DISEASE,Peripheral artery occlusion,PERIPHERAL ARTERY OCCLUSION,PERIPHERAL ARTERY OCCLUSION,"PERIPHERAL VASOCONSTRICTION, NECROSIS AND VASCULAR INSUFFICIENCY","ARTERIOSCLEROSIS, STENOSIS, VASCULAR INSUFFICIENCY AND NECROSIS",10047065,10057525,10057525,10057525
15237,RESPIRATORY PROBLEMS,Neonatal respiratory distress,NEONATAL RESPIRATORY DISTRESS,NEONATAL RESPIRATORY DISTRESS,NEONATAL HYPOXIC CONDITIONS,NEONATAL RESPIRATORY DISORDERS,10038738,10028973,10028973,10028973
15243,ABIRATERONE-INDUCED MINERALOCORTICOID EXCESS SYNDROME,Acquired apparent mineralocorticoid excess,ACQUIRED APPARENT MINERALOCORTICOID EXCESS,ACQUIRED APPARENT MINERALOCORTICOID EXCESS,ADRENAL CORTICAL HYPERFUNCTIONS,ADRENAL GLAND DISORDERS,10014698,10080230,10080230,10080230
15478,MESENTERIC ARTERY ANEURYSM,Mesenteric artery aneurysm,MESENTERIC ARTERY ANEURYSM,MESENTERIC ARTERY ANEURYSM,GASTROINTESTINAL VASCULAR MALFORMATIONS,GASTROINTESTINAL VASCULAR CONDITIONS,10017947,10079556,10079556,10079556
15497,OMEPRAZOLE GIVEN AS A TREATMENT FOR COLD,Drug use for unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
15530,TUMEFACTIVE DEMYELINATING LESIONS IN THE LEFT TEMPORAL LOBE,Tumefactive multiple sclerosis,TUMEFACTIVE MULTIPLE SCLEROSIS,TUMEFACTIVE MULTIPLE SCLEROSIS,MULTIPLE SCLEROSIS ACUTE AND PROGRESSIVE,DEMYELINATING DISORDERS,10029205,10078556,10078556,10078556
15546,"HE HAD BEEN PREVIOUSLY (ERRONEOUSLY) DIAGNOSED AS SUFFERING FROM ""SOLAR"" ANGIO-EDEMA AND HAD BEEN TREATED WITH DESLORATADINE",Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
15640,PRODUCT USE IN UNAPPROVED INDICATION,Product use in unapproved indication,PRODUCT USE IN UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10076476,10076476,10076476
15675,PATIENT TREATED WITH PREDNISONE DURING AN INFECTIOUS STATE FOLLOWING MIS-DIAGNOSIS (MEDICATION ERROR),Contraindicated product administered,CONTRAINDICATED DRUG ADMINISTERED,CONTRAINDICATED PRODUCT ADMINISTERED,PRODUCT ADMINISTRATION ERRORS AND ISSUES,MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10074899,10078504,10074899
15701,MULTIPLE ORGAN FAILURE DUE TO DISSEMINATED INTRAVASCULAR COAGULATION AND SEPTIC SHOCK,multiple organ failure,MULTIPLE ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028237,10077361,10028237
15813,PARTIAL RESPONSE,partial response,PARTIAL RESPONDER TO THERAPY,THERAPY PARTIAL RESPONDER,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10066429,10078115,10066429
15890,RHINITIS MEDICAMENTOSA,Rebound nasal congestion,RHINITIS MEDICAMENTOSA,REBOUND NASAL CONGESTION,NASAL CONGESTION AND INFLAMMATIONS,UPPER RESPIRATORY TRACT DISORDERS (EXCL INFECTIONS),10038738,10039090,10079593,10039090
15914,CEFTRIAXONE INDUCED PSEUDOLITHIASIS,Pseudocholelithiasis,PSEUDOCHOLELITHIASIS,PSEUDOCHOLELITHIASIS,CHOLECYSTITIS AND CHOLELITHIASIS,GALLBLADDER DISORDERS,10019805,10066884,10066884,10066884
15972,EUGLYCAEMIC DIABETIC KETOACIDOSIS,Euglycaemic diabetic ketoacidosis,EUGLYCAEMIC DIABETIC KETOACIDOSIS,EUGLYCAEMIC DIABETIC KETOACIDOSIS,DIABETIC COMPLICATIONS NEC,DIABETIC COMPLICATIONS,10027433,10080061,10080061,10080061
16006,"DESPITE THESE TREATMENTS, PATIENT EXPERIENCED RELAPSE OF ADULT STILL'S DISEASE",Still's disease,ADULT ONSET STILL'S DISEASE,STILL'S DISEASE,RHEUMATOID ARTHROPATHIES,JOINT DISORDERS,10028395,10079456,10042061,10079456
